id,area,room_type,accommodates,bathrooms,beds,min_nights,num_reviews,rating,price
13440481,Upper East Side,Private room,1,1.0,1.0,30,0,,301.0
45277537,Hell's Kitchen,Entire home/apt,4,1.0,1.0,30,9,4.67,144.0
41793009,East Harlem,Entire home/apt,6,1.0,2.0,30,0,,180.0
655078246813206852,Midtown,Private room,2,1.0,1.0,30,0,,449.0
1010359952821415638,East Village,Private room,2,2.0,1.0,30,0,,100.0
971353993633883038,Chelsea,Entire home/apt,4,1.0,2.0,2,6,4.17,187.0
892641611171517577,Murray Hill,Private room,2,1.0,1.0,30,0,,615.0
40896611,Murray Hill,Entire home/apt,2,1.0,1.0,30,11,4.91,85.0
27906875,Hell's Kitchen,Entire home/apt,3,2.0,2.0,60,0,,350.0
53214934,Hell's Kitchen,Entire home/apt,8,1.0,12.0,30,0,,271.0
45457047,Hell's Kitchen,Entire home/apt,2,1.0,1.0,30,3,4.33,105.0
45847112,Hell's Kitchen,Entire home/apt,3,1.0,2.0,30,10,4.5,130.0
14530298,Upper West Side,Entire home/apt,4,1.0,2.0,30,0,,250.0
894883521311487624,Financial District,Private room,2,1.0,1.0,30,0,,693.0
929978463825862773,Financial District,Entire home/apt,2,1.0,1.0,30,1,5.0,100.0
28811035,Greenwich Village,Entire home/apt,4,1.0,2.0,90,0,,150.0
28224871,Washington Heights,Entire home/apt,5,1.0,3.0,30,5,3.2,164.0
29923599,Midtown,Hotel room,4,1.0,2.0,30,1,5.0,1000.0
30954420,Lower East Side,Entire home/apt,4,1.0,2.0,30,0,,500.0
34718504,Upper West Side,Entire home/apt,4,2.0,2.0,180,1,5.0,425.0
39022484,West Village,Private room,2,1.0,1.0,30,5,4.8,196.0
34055336,East Harlem,Private room,2,1.0,1.0,30,0,,169.0
35574095,Tribeca,Private room,2,1.0,1.0,30,1,5.0,200.0
950726818995939836,Hell's Kitchen,Private room,2,1.0,1.0,1,2,3.0,261.0
36602019,Little Italy,Private room,2,1.0,2.0,1,0,,390.0
38957054,Murray Hill,Hotel room,2,1.0,1.0,1,0,,1241.0
