host_id,host_name,latitude,longitude,accommodates,beds,minimum_nights,number_of_reviews,review_scores_rating,room_type,neighbourhood_cleansed,price
465579714,Eduard,40.72566,-73.95138,16,3,30,1,5,Entire home/apt,Greenpoint,3600.00
465579714,Eduard,40.70923,-73.92623,16,1,30,0,,Entire home/apt,Williamsburg,3600.00
465579714,Eduard,40.71814,-74.0039,16,1,30,0,,Entire home/apt,Tribeca,3600.00
496944100,RoomPicks,40.71959386,-74.00107838,16,4,1,0,,Private room,SoHo,3560.00
496944100,RoomPicks,40.71866064,-73.99921409,16,4,1,0,,Private room,Little Italy,3560.00
496944100,RoomPicks,40.72045,-73.999,16,4,1,0,,Private room,SoHo,3560.00
1163318,Vanessa,40.74334,-74.00214,10,8,30,12,4.92,Entire home/apt,Chelsea,3557.00
105797763,Boris,40.70636,-73.94026,4,1,90,0,,Entire home/apt,Williamsburg,3500.00
386108490,Patrick,40.72347,-73.98856,8,4,30,1,5,Entire home/apt,East Village,3500.00
62693751,Sandra,40.76458,-73.97764,4,2,30,0,,Entire home/apt,Midtown,3500.00
230670970,Jenuine,40.81557,-73.94228,16,17,30,0,,Entire home/apt,Harlem,3500.00
299058804,Aviv,40.66654,-73.97658,8,6,30,2,5,Entire home/apt,Park Slope,3400.00
375344103,Karen,40.74009,-74.00629,16,,30,1,5,Entire home/apt,West Village,3300.00
229458601,Kay,40.81363,-73.9507,4,2,90,0,,Entire home/apt,Harlem,3200.00
71981658,Anastasia,40.72033,-73.99582,4,2,30,0,,Entire home/apt,Nolita,3143.00
45955499,Lauren Berger,40.7563483,-73.982205,11,6,1,1,5,Entire home/apt,Midtown,3131.00
1556814,Tammy,40.81521,-73.94214,16,8,30,0,,Entire home/apt,Harlem,3000.00
458818439,Lillian,40.76976505,-73.98360078,4,2,3,0,,Entire home/apt,Upper West Side,3000.00
496932087,Reservations,40.71432,-74.00806,3,1,1,0,,Private room,Tribeca,3000.00
496932087,Reservations,40.7140336,-74.01013755,3,1,1,0,,Private room,Tribeca,3000.00
836168,Henry,40.78004,-73.98327,9,4,30,8,4.75,Entire home/apt,Upper West Side,3000.00
70410029,Kellan,40.6743259,-73.8924065,16,4,30,0,,Entire home/apt,East New York,3000.00
424193351,Nundiah-Danielle,40.68087,-73.97462,16,1,30,2,5,Entire home/apt,Prospect Heights,3000.00
242793278,Ruslan,40.58952,-73.9376,9,3,30,0,,Entire home/apt,Sheepshead Bay,3000.00
389845679,Mathias Nahuel,40.71873,-74.00877,12,6,30,0,,Entire home/apt,Tribeca,2999.00
96863104,David,40.75332944,-73.98492319,16,1,30,0,,Entire home/apt,Midtown,2900.00
113534805,Jackie,40.74885,-74.00327,16,1,30,0,,Private room,Chelsea,2857.00
317192469,Carina,40.73021,-73.98956,1,1,30,0,,Entire home/apt,East Village,2850.00
244008821,Sonia,40.73483,-73.99986,1,1,100,0,,Private room,West Village,2850.00
501999278,RoomPicks,40.74544,-73.98763,16,8,1,0,,Private room,Midtown,2832.00
45854238,John,40.73432,-74.00603,3,1,30,0,,Entire home/apt,West Village,2800.00
496932087,Reservations,40.71449432,-74.00825711,12,6,1,0,,Private room,Tribeca,2700.00
496932087,Reservations,40.71549,-74.00821,12,6,1,0,,Private room,Tribeca,2700.00
480704914,Ray,40.67775396,-73.95207308,16,19,1,0,,Entire home/apt,Crown Heights,2696.00
496944100,RoomPicks,40.71960399,-74.00093965,12,3,1,0,,Private room,SoHo,2670.00
496944100,RoomPicks,40.72055349,-74.00076399,12,3,1,0,,Private room,SoHo,2670.00
496944100,RoomPicks,40.72026924,-73.99900818,12,3,1,0,,Private room,SoHo,2670.00
4989542,Evelyn,40.72095,-73.99047,13,8,1,75,4.91,Private room,Lower East Side,2643.00
76260475,Suzanne,40.7207484,-73.99556373,2,1,30,0,,Entire home/apt,Nolita,2640.00
5615582,RoomPicks,40.71909,-73.98873,4,2,30,0,,Entire home/apt,Lower East Side,2605.00
2892686,Soly,40.72426872,-74.00172028,3,2,30,0,,Entire home/apt,SoHo,2600.00
28656622,Elisa,40.76277,-73.97539,6,3,1,11,4.91,Private room,Midtown,2586.00
45955499,Lauren Berger,40.7563483,-73.982205,8,4,1,1,5,Entire home/apt,Midtown,2505.00
335941702,Molik,40.7379457,-73.9914342,8,4,30,0,,Entire home/apt,Chelsea,2500.00
335941702,Molik,40.72472,-74.00258,8,3,30,2,5,Entire home/apt,SoHo,2500.00
836168,Henry,40.77277,-73.98571,7,2,30,9,4.89,Entire home/apt,Upper West Side,2500.00
836168,Henry,40.76456,-73.97876,3,1,30,4,5,Entire home/apt,Midtown,2500.00
836168,Henry,40.7751,-73.98595,9,3,30,25,4.96,Entire home/apt,Upper West Side,2500.00
335941702,Molik,40.7251066,-74.00316925,9,3,30,0,,Entire home/apt,SoHo,2500.00
836168,Henry,40.77493,-73.98732,8,3,30,59,4.86,Entire home/apt,Upper West Side,2500.00
34264721,Chris,40.58774,-73.95795,4,1,30,0,,Entire home/apt,Sheepshead Bay,2500.00
117354500,Charles,40.74043,-73.98528,4,1,30,6,5,Private room,Flatiron District,2500.00
269263032,Fanny,40.72748,-74.00279,16,3,30,0,,Entire home/apt,SoHo,2500.00
523365745,Solomane,40.6570944,-73.7269815,6,4,30,2,4.5,Entire home/apt,Rosedale,2500.00
